	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
180	月经过少的证型分布与致病因素之间的关系初探	赵晓薇	成都中医药大学	硕士	2013	8	466	原版阅读      CNKI AI阅读
181	人参荷叶饮防治肥胖症降脂减肥作用的实验研究	崔海善	长春中医药大学	硕士	2013	4	769	原版阅读      CNKI AI阅读
182	电针结合埋线治疗脾虚湿阻型腹型肥胖的临床研究	朋源凤	广州中医药大学	硕士	2013	7	363	原版阅读      CNKI AI阅读
183	女性中医养生文化的新媒体传播实证研究——基于杭城白领女性的样本分析	王若韫	浙江工业大学	硕士	2012	14	1735	原版阅读      CNKI AI阅读
184	针灸治疗肥胖病临床回顾性研究	欧阳强波	北京中医药大学	博士	2012	14	3077	原版阅读      CNKI AI阅读
185	温针灸治疗脾虚湿阻型单纯性肥胖症的临床研究	林师彬	广州中医药大学	博士	2012	18	1689	原版阅读      CNKI AI阅读
186	三种治疗单纯性肥胖方法的临床疗效研究	林宴菱	广州中医药大学	博士	2012	24	3056	原版阅读      CNKI AI阅读
187	针灸“关元”穴干预营养性肥胖大鼠脂联素的实验研究	李京真	北京中医药大学	硕士	2012	20	420	原版阅读      CNKI AI阅读
188	不同针灸疗法治疗脾虚湿阻型单纯性肥胖症的临床研究	孙振谊	广州中医药大学	硕士	2012	5	447	原版阅读      CNKI AI阅读
189	子午流注针法治疗脾虚湿盛型单纯性肥胖症的临床疗效观察	賴郁凱	广州中医药大学	博士	2012	2	717	原版阅读      CNKI AI阅读
190	温针结合拔罐治疗单纯性肥胖的临床研究	李骏霖	广州中医药大学	博士	2012	12	955	原版阅读      CNKI AI阅读
191	耳穴贴压治疗单纯肥胖症的作用及机理研究	李明宪	广州中医药大学	博士	2012	20	1428	原版阅读      CNKI AI阅读
192	运腹推经法治疗单纯性肥胖症的临床研究	姜婉婷	长春中医药大学	硕士	2012	7	483	原版阅读      CNKI AI阅读
193	电针调控肥胖模型小鼠肠道菌群元基因组研究	李宛真	成都中医药大学	硕士	2012	10	630	原版阅读      CNKI AI阅读
194	电针对肥胖大鼠胰岛素抵抗的影响	陈家琳	广州中医药大学	硕士	2012	12	451	原版阅读      CNKI AI阅读
195	不同疗法对单纯性肥胖的疗效及生化指标的研究	王彦红	广州中医药大学	硕士	2012	11	780	原版阅读      CNKI AI阅读
196	不同针灸方法治疗单纯性肥胖的时效关系对比研究	林之晨	广州中医药大学	硕士	2012	9	1391	原版阅读      CNKI AI阅读
197	瘦瘦茶对单纯性肥胖的疗效、作用机理及安全性研究	傅晨	西北农林科技大学	硕士	2011	1	265	原版阅读      CNKI AI阅读
198	纤体降脂Ⅰ号对大鼠去卵巢后肥胖的预防作用及其作用机制的实验研究	甘国兴	湖南中医药大学	硕士	2011		111	原版阅读      CNKI AI阅读
199	高血压与腹型肥胖的相关性中西医研究进展及临床观察	郑震霄	北京中医药大学	硕士	2011	21	1016	原版阅读      CNKI AI阅读
200	中医综合治疗在腹型肥胖临床研究中的应用探讨	段红蕾	北京中医药大学	硕士	2011	13	1496	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
201	埋线结合耳压治疗脾虚湿阻型肥胖症的临床研究	郭如玲	广州中医药大学	硕士	2011	4	357	原版阅读      CNKI AI阅读
202	穴位埋线治疗痰湿质肥胖的临床研究	谢丰如	广州中医药大学	硕士	2011	8	737	原版阅读      CNKI AI阅读
203	磁疗低周波治疗单纯性肥胖的临床研究	刘怡青	广州中医药大学	硕士	2011	2	393	原版阅读      CNKI AI阅读
204	健脾运湿法对单纯性肥胖糖调节受损脾虚不运证患者血清胰高血糖素样肽-1、抵抗素、胰岛素水平的影响	于征	山东中医药大学	博士	2011	6	501	原版阅读      CNKI AI阅读
205	中药与穴位埋线并用治疗单纯性肥胖症的临床研究	臧翠翠	山东中医药大学	硕士	2011	2	243	原版阅读      CNKI AI阅读
206	电针治疗单纯性肥胖症的临床观察	崔嫤化	南京中医药大学	硕士	2011	5	180	原版阅读      CNKI AI阅读
207	针灸治疗单纯性肥胖病并发高血压肝郁脾虚型的疗效观察	石温	南京中医药大学	硕士	2011	3	345	原版阅读      CNKI AI阅读
208	多穗柯和根皮苷干预肥胖大鼠瘦素抵抗的信号转导机制研究	周才杰	广州中医药大学	博士	2011	11	700	原版阅读      CNKI AI阅读
209	电针结合隔姜灸治疗单纯性肥胖症的临床研究	陈企忠	广州中医药大学	博士	2011	9	495	原版阅读      CNKI AI阅读
210	穴位埋线结合中药治疗脾虚湿盛型单纯性肥胖症的临床研究	郭人嫚	广州中医药大学	博士	2011	3	946	原版阅读      CNKI AI阅读
211	薄氏腹针与常规针刺治疗单纯性肥胖症的临床对照研究	黄玲玲	南方医科大学	博士	2011	22	1326	原版阅读      CNKI AI阅读
212	电针结合拔罐治疗单纯性肥胖的临床研究	陈姵绮	广州中医药大学	博士	2011	9	1062	原版阅读      CNKI AI阅读
213	不同针灸方法治疗脾虚湿阻型肥胖症临床疗效的研究	李宜欣	广州中医药大学	硕士	2011	2	352	原版阅读      CNKI AI阅读
214	穴位埋线结合饮食指导及有氧运动治疗单纯性肥胖症的临床疗效观察	张金生	成都中医药大学	硕士	2012	4	433	原版阅读      CNKI AI阅读
215	针推并用治疗中老年单纯性肥胖症的临床研究	任萍	长春中医药大学	硕士	2011		204	原版阅读      CNKI AI阅读
216	针刺内庭穴对胃肠实热型单纯性肥胖患者食欲调节作用的疗效观察	钱鑫	广州中医药大学	硕士	2011	5	489	原版阅读      CNKI AI阅读
217	论“治未病”学术思想在防治肥胖症中的运用	孟凡繁	成都中医药大学	硕士	2011	3	522	原版阅读      CNKI AI阅读
218	穴位埋线治疗单纯性肥胖的临床研究	张佳谕	广州中医药大学	硕士	2011	9	465	原版阅读      CNKI AI阅读
219	加拿大华人的肥胖特点	陈玉贤	广州中医药大学	硕士	2011	1	277	原版阅读      CNKI AI阅读
220	加拿大华裔引致肥胖的辨证思路分析	譚月卿	广州中医药大学	硕士	2011		231	原版阅读      CNKI AI阅读
221	针灸治疗单纯性肥胖的肠道菌群调节机理探讨	周莉萍	成都中医药大学	硕士	2011	18	1451	原版阅读      CNKI AI阅读
222	运用安慰针对照观察针刺疗法对单纯性肥胖症的临床疗效	郑婕	广州医学院	硕士	2010	2	179	原版阅读      CNKI AI阅读
223	头体针配穴法治疗单纯性肥胖的临床研究	于婷婷	黑龙江中医药大学	硕士	2010	5	338	原版阅读      CNKI AI阅读
224	电温针治疗脾虚湿阻型单纯性肥胖症的临床研究	胡翌	广州中医药大学	硕士	2010	2	293	原版阅读      CNKI AI阅读
225	穴位埋线治疗单纯性肥胖病的瘦素和胰岛素抵抗机制研究	姜军作	南京中医药大学	博士	2010	11	923	原版阅读      CNKI AI阅读
226	针灸治疗单纯性肥胖症的选穴组方规律文献研究	萧雅芬	广州中医药大学	硕士	2010	10	689	原版阅读      CNKI AI阅读
227	整体经络针刺法治疗单纯性肥胖的临床疗效观察	任旭	湖南中医药大学	硕士	2010	3	330	原版阅读      CNKI AI阅读
228	体针结合耳压疗法改善肥胖患者食欲亢进的临床观察	洪庆喜	广州中医药大学	硕士	2010	3	440	原版阅读      CNKI AI阅读
229	电针配合埋线治疗中心性肥胖的临床疗效观察	陈锡溪	广州中医药大学	硕士	2010	7	432	原版阅读      CNKI AI阅读
230	针刺结合推拿治疗单纯性肥胖症（胃肠腑热型）临床研究	彭淑珍	广州中医药大学	硕士	2010	4	532	原版阅读      CNKI AI阅读
231	电针配合耳压治疗单纯性肥胖症的临床疗效观察	王彦文	广州中医药大学	硕士	2010		176	原版阅读      CNKI AI阅读
232	健脾祛湿药膳治疗肥胖病之研究	赖福顺	南京中医药大学	博士	2010	16	2802	原版阅读      CNKI AI阅读
233	穴位埋线疗法治疗单纯性肥胖之有效性评估一个随机分派、单盲研究	郑昌贤	广州中医药大学	博士	2010	7	679	原版阅读      CNKI AI阅读
234	穴位埋线疗法治疗单纯性肥胖症的临床研究	黄国荣	广州中医药大学	博士	2010	8	919	原版阅读      CNKI AI阅读
235	针刺治疗单纯性肥胖的临床及实验研究	邓雪梅	成都中医药大学	硕士	2010	10	514	原版阅读      CNKI AI阅读
236	耳穴贴压配合体针治疗单纯性肥胖症临床研究	林佳颖	广州中医药大学	硕士	2010	6	385	原版阅读      CNKI AI阅读
237	针刺结合大肠俞埋线治疗单纯性肥胖合并便秘的临床疗效观察	陈境烨	广州中医药大学	硕士	2010	5	598	原版阅读      CNKI AI阅读
238	经络锻炼与健步走练习对科特迪瓦肥胖人群干预效果的研究	巴利	北京体育大学	硕士	2009	1	80	原版阅读      CNKI AI阅读
239	中药从痰湿论治单纯性肥胖症研究	柳义明	广州中医药大学	博士	2009	23	2074	原版阅读      CNKI AI阅读
240	穴位埋线治疗单纯性肥胖病的临床评价及实验研究	吴爱莲	广州中医药大学	博士	2009	10	1534	原版阅读      CNKI AI阅读
241	电针配合耳穴贴压法治疗单纯性肥胖症的临床疗效观察	施皓鸾	北京中医药大学	硕士	2009	5	380	原版阅读      CNKI AI阅读
242	灵龟八法针法为主配合耳穴压豆治疗胃肠实热型肥胖疗效观察	黄茶熙	北京中医药大学	硕士	2009	5	669	原版阅读      CNKI AI阅读
243	单纯性肥胖针灸处方用穴规律研究	区淑娟	广州中医药大学	硕士	2009	11	1054	原版阅读      CNKI AI阅读
244	肝胆俞募配穴治疗中心性肥胖的临床疗效观察	赵晶	广州中医药大学	硕士	2009	15	532	原版阅读      CNKI AI阅读
245	腹针治疗中心型肥胖症的临床疗效观察	赖尚洋	广州中医药大学	硕士	2009	11	406	原版阅读      CNKI AI阅读
246	全身性肥胖与中心性肥胖针灸疗效观察	陈燕圣	广州中医药大学	硕士	2009	7	744	原版阅读      CNKI AI阅读
247	温针灸治疗脾虚痰湿型肥胖症疗效观察	戴坤煌	广州中医药大学	硕士	2009	5	472	原版阅读      CNKI AI阅读
248	经络点穴推拿治疗青少年单纯性肥胖症的临床疗效观察	乔巧	山东中医药大学	硕士	2009	6	486	原版阅读      CNKI AI阅读
249	不同波形电针治疗单纯性肥胖病的临床观察	王威	南京中医药大学	硕士	2009	2	366	原版阅读      CNKI AI阅读
250	针灸治疗单纯性肥胖病取穴规律研究	金唯真	南京中医药大学	硕士	2009	9	1272	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
251	电针加温针灸治疗单纯性肥胖的临床研究	陈美君	广州中医药大学	博士	2009	12	1056	原版阅读      CNKI AI阅读
252	俞募配穴针刺治疗脾虚湿阻与肝郁气滞型单纯性肥胖的临床研究	骆纪谨	广州中医药大学	博士	2009	10	1231	原版阅读      CNKI AI阅读
253	温灸神阙治疗中心性肥胖疗效观察	苏秋荣	广州中医药大学	硕士	2009	10	531	原版阅读      CNKI AI阅读
254	防风通圣丸治疗脾胃实热型单纯性肥胖的临床研究	牛蔚露	成都中医药大学	硕士	2009	12	593	原版阅读      CNKI AI阅读
255	电针配合拔罐治疗单纯性肥胖的临床研究	李艳双	长春中医药大学	硕士	2009	5	357	原版阅读      CNKI AI阅读
256	电针耳压与埋线耳压治疗单纯性肥胖临床的比较研究	卡莉娜	南京中医药大学	硕士	2009	1	352	原版阅读      CNKI AI阅读
257	针刺募穴结合耳穴治疗单纯性肥胖症的临床研究	崔金梁	广州中医药大学	硕士	2009	2	317	原版阅读      CNKI AI阅读
258	脾胃三焦俞募埋线改善肥胖患者脾虚症状疗效观察	慕丹	广州中医药大学	硕士	2009	6	337	原版阅读      CNKI AI阅读
259	俞募配穴埋线治疗痰湿内盛型肥胖症的临床研究	任变英	广州中医药大学	硕士	2009	4	433	原版阅读      CNKI AI阅读
260	穴位埋线治疗单纯性肥胖症的临床研究	刘冠位	广州中医药大学	硕士	2009	8	628	原版阅读      CNKI AI阅读
261	穴位埋线治疗单纯性肥胖症的临床研究	许瑞香	广州中医药大学	博士	2008	7	1285	原版阅读      CNKI AI阅读
262	针灸加药物治疗气滞血瘀型肥胖症临床研究	杨士萱	广州中医药大学	博士	2008		970	原版阅读      CNKI AI阅读
263	开郁清热降浊方治疗肥胖2型糖尿病的临床观察	张燕妮	北京中医药大学	硕士	2008	1	390	原版阅读      CNKI AI阅读
264	脾胃募合配穴埋线治疗脾虚湿盛型肥胖症的疗效观察	邱聪惠	广州中医药大学	硕士	2008	6	627	原版阅读      CNKI AI阅读
265	五苓散治疗脾虚痰湿型单纯性肥胖症的临床观察	麦熙	广州中医药大学	硕士	2008	14	947	原版阅读      CNKI AI阅读
266	不同电针频率对单纯性肥胖大鼠相关指标影响的实验研究	邹碧晴	北京中医药大学	硕士	2008	8	439	原版阅读      CNKI AI阅读
267	健脾益肾汤治疗单纯性肥胖症的临床研究	张娜	山东中医药大学	硕士	2008	2	234	原版阅读      CNKI AI阅读
268	穴位埋线治疗更年期妇女肥胖的临床研究及其对血清生殖激素的影响	张梅	广州中医药大学	博士	2008	14	1477	原版阅读      CNKI AI阅读
269	穴位埋药线合并中药治疗单纯性肥胖症的临床研究	曾炳昌	广州中医药大学	博士	2008	15	805	原版阅读      CNKI AI阅读
270	疏肝健脾法针灸治疗脾虚型肥胖的临床研究	赵岩	广州中医药大学	硕士	2008	2	538	原版阅读      CNKI AI阅读
271	肝经取穴为主治疗血瘀型单纯性肥胖的临床研究	刘婉师	广州中医药大学	硕士	2008	2	342	原版阅读      CNKI AI阅读
272	温针结合走罐治疗单纯性肥胖症的临床研究	林妙君	广州中医药大学	硕士	2008	4	340	原版阅读      CNKI AI阅读
273	调理三焦法治疗单纯性肥胖症的临床研究	徐辉	广州中医药大学	硕士	2008	5	466	原版阅读      CNKI AI阅读
274	灵龟八法治疗单纯性肥胖的临床研究	李霞	广州中医药大学	硕士	2008	5	340	原版阅读      CNKI AI阅读
275	穴位埋线治疗单纯性肥胖病临床研究	秦臻	广州中医药大学	硕士	2008		303	原版阅读      CNKI AI阅读
276	三子苗条方治疗单纯性肥胖证属于肝胃热盛痰阻型自身前后对照临床研究	廖洪超	北京中医药大学	硕士	2008	1	742	原版阅读      CNKI AI阅读
277	灵龟八法为主治疗单纯性肥胖病并发失眠的临床研究	车桂香	北京中医药大学	硕士	2007	6	444	原版阅读      CNKI AI阅读
278	电针治疗单纯性肥胖病的临床研究	崔京淑	南京中医药大学	硕士	2007	2	225	原版阅读      CNKI AI阅读
279	灵龟八法为主治疗脾虚湿困型单纯性肥胖症的临床研究	刘影	北京中医药大学	硕士	2007	4	542	原版阅读      CNKI AI阅读
280	单纯性肥胖患者针刺治疗体脂肪含量等相关参数效应的临床观察	河炫旭	黑龙江中医药大学	硕士	2007	2	346	原版阅读      CNKI AI阅读
281	针刺配合耳穴贴压治疗单纯性肥胖症的临床观察	赵霞	黑龙江中医药大学	硕士	2007	1	226	原版阅读      CNKI AI阅读
282	电热针为主治疗单纯性肥胖症脾虚湿阻型的临床研究	徐菁鸿	中国中医科学院	硕士	2007	13	558	原版阅读      CNKI AI阅读
283	穴位埋线疗法治疗单纯性肥胖症不同证型疗效的临床研究	王海桥	山东中医药大学	硕士	2007		387	原版阅读      CNKI AI阅读
284	穴位埋线治疗单纯性肥胖症临床分析	康钦凌	广州中医药大学	硕士	2007	3	358	原版阅读      CNKI AI阅读
