	篇名	作者	刊名	发表时间	被引	下载	操作
16	基于CiteSpace探究PI3K/AKT/mTOR信号通路的中医药研究热点	朱帅波 金巍 李立红	浙江中医药大学学报	2025-04-20		23	HTML阅读      CNKI AI阅读
17	基于Citespace中医药治疗肝硬化腹水的可视化分析	赵晓露 李泽鹏 罗艺 龚英 刘琳 周晓玲	人参研究	2025-04-18		41	原版阅读      CNKI AI阅读
18	当代地域性中医学术流派相关研究的可视化分析	凌金忠 郜峦 王振国	世界科学技术-中医药现代化	2025-04-16 06:59		296	HTML阅读      CNKI AI阅读
19	基于Citespace中医药调控足细胞的可视化分析	李俐鸳 谢璇	四川中医	2025-04-15		7	HTML阅读      CNKI AI阅读
20	中医药治疗湿疹研究文献可视化分析	徐浩洋 李雅宁 郎娜 董燕	中国医药导报	2025-04-15		3	HTML阅读      CNKI AI阅读
21	基于CiteSpace的中医药治疗感染后咳嗽知识图谱可视化分析	朱笑彤 叶敏 孙丽凤	中国医药导刊	2025-04-15			HTML阅读      CNKI AI阅读
22	国内中医护理在偏瘫患者中的应用——基于CiteSpace软件的可视化分析	李思颖 王珊珊	黑龙江科学	2025-04-15		29	HTML阅读      CNKI AI阅读
23	近十年中医药治疗支气管扩张症的可视化图谱分析	孙蓉蓉 陈海涛 张尊敬	医学信息	2025-04-15		41	HTML阅读      CNKI AI阅读
24	登革热中医药研究的知识图谱可视化分析	刘城鑫 余新波 叶贝 王婷 王凯 黄慧婷 詹少锋 廖钢 梁慧秋 江勇 温武金	中国中医急症	2025-04-15		60	HTML阅读      CNKI AI阅读
25	基于CiteSpace的心肌梗死病人便秘的研究热点分析	胡培梅 李爱仙 周娟娟 居伟	全科护理	2025-04-15		180	HTML阅读      CNKI AI阅读
26	基于CiteSpace的中医药治疗中心性浆液性脉络膜视网膜病变知识图谱可视化分析	郑玉凤 罗世春 路雪婧	中国中医眼科杂志	2025-04-10		176	HTML阅读      CNKI AI阅读
27	基于CiteSpace的近十年中医药治疗孤独症谱系障碍的可视化研究	陈玲 王俊宏	中国医药导报	2025-04-05		124	HTML阅读      CNKI AI阅读
28	基于CiteSpace的我国痔病患者术后疼痛护理可视化分析	车琼 李萍 帅雪梅 王田 田航 李沿洁	当代护士(中旬刊)	2025-04-01		76	HTML阅读      CNKI AI阅读
29	基于CiteSpace分析我国1994—2022年中医食疗养生研究热点及趋势	杨丽花 杨嫡 张新杭 唐昳蒙	微量元素与健康研究	2025-03-30		612	HTML阅读      CNKI AI阅读
30	中医药治疗乳腺癌术后上肢淋巴水肿的文献计量学分析	张晓巧 郑朝晖 刘晓励 易天仙 尹琴 黄敏 汤剑英	中医药导报	2025-03-28		508	HTML阅读      CNKI AI阅读
31	基于CiteSpace分析玄府学说的研究现状与前沿热点	何林嵘 雷若兰 张德绸 江玉	湖南中医杂志	2025-03-28		56	HTML阅读      CNKI AI阅读
32	中医药调节巨噬细胞极化的文献计量学分析	陈凤 张炜	世界中西医结合杂志	2025-03-28		112	HTML阅读      CNKI AI阅读
33	1992—2022年鸡血藤知识网络图谱的可视化研究	杨鹏斐 张潇亚 薛欣 李廷保	中国现代应用药学	2025-03-28		75	原版阅读      CNKI AI阅读
34	基于CiteSpace可视化分析癌毒的研究现状及趋势 网络首发	潘赐明 方会 周丽莉 王玲玉 陈波 李佩佩 吴元洁	云南民族大学学报(自然科学版)	2025-03-24 11:13		260	HTML阅读      CNKI AI阅读
35	中医外治法治疗慢性肾衰竭的研究进展及展望 网络首发	王语鑫 王柏森 王圣治	实用中医内科杂志	2025-03-20 10:21		555	HTML阅读      CNKI AI阅读
36	近20年中医药调控JAK/STAT通路的研究进展可视化分析	胡乐乐 李浩林 陶鹏飞 贺佩鑫 杨会军 金芳梅 年芳红 王海东	实用中医内科杂志	2025-03-20		123	HTML阅读      CNKI AI阅读
37	基于CiteSpace对中医药治疗高尿酸血症的可视化分析	朱楠 黄捡 石行 潘赐明 陈云山	实用中医内科杂志	2025-03-20		246	HTML阅读      CNKI AI阅读
38	1993-2023年中医药知识服务研究文献可视化分析	徐一涵 于彤	中国中医药图书情报杂志	2025-03-17 15:57		224	HTML阅读      CNKI AI阅读
39	基于CiteSpace对中医外治法治疗慢性荨麻疹可视化分析	张淼 唐磊 周汛 黄英如	光明中医	2025-03-15		113	HTML阅读      CNKI AI阅读
40	基于CiteSpace与VOSviewer的耳穴疗法治疗失眠研究现状可视化分析	常彩虹 陈子怡 万和伽 王真真 杨巧菊	中国医药科学	2025-03-15		106	HTML阅读      CNKI AI阅读
41	国内外五行音乐干预负性情绪的可视化分析	王文军 赵静涛 谷珊珊 赵楠	中国医药导报	2025-03-15		369	HTML阅读      CNKI AI阅读
42	基于CiteSpace的过敏性鼻炎外治法研究可视化分析	周岩清 宁云红 刘恒 于华芸 刘衍凤	中国医药导报	2025-03-15		170	HTML阅读      CNKI AI阅读
43	基于CiteSpace的中医文化传播研究热点可视化分析（2004-2023年）	邓金艳 叶年华 刘树琴 余静	文化创新比较研究	2025-03-11		70	HTML阅读      CNKI AI阅读
44	基于CiteSpace的中医药治疗视疲劳的可视化分析	龙强 陈兵 黄燕 周利红 黄银兰	中国中医眼科杂志	2025-03-10		753	HTML阅读      CNKI AI阅读
45	基于CiteSpace的中医药治疗心房颤动可视化分析 网络首发	汪罗宇 许祖建	中医临床研究	2025-03-05 16:40		370	HTML阅读      CNKI AI阅读
46	2014-2024年中医药治疗卵巢储备功能减退研究文献可视化分析	彭雪琴 黄睿雅 吕文鑫 翟婷婷	中国中医药图书情报杂志	2025-03-01		157	HTML阅读      CNKI AI阅读
47	2003-2023年中医古籍研究文献可视化分析	萨出仁贵 包哈申	中国中医药图书情报杂志	2025-03-01		96	HTML阅读      CNKI AI阅读
48	基于CiteSpace的中医药治疗周围性面瘫研究文献可视化分析	卢秀煦 李小竟 阮贵基 李心乐 赖鸿鹄 吕光耀	中国中医药图书情报杂志	2025-03-01		197	HTML阅读      CNKI AI阅读
49	2004年－2024年冠状动脉粥样硬化性心脏病气虚证研究文献可视化分析 网络首发	孔维国 戴小华	中医临床研究	2025-02-28 17:02		984	HTML阅读      CNKI AI阅读
50	中医药治疗新生儿黄疸的文献计量学分析	郭超凡 李凡鹏 董晓斐	湖南中医杂志	2025-02-28		103	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
51	基于OBE理念的中医药人才培养模式的知识图谱分析	李君 王舒 朱健强 李雪 况媛媛 张谦	继续医学教育	2025-02-28		98	HTML阅读      CNKI AI阅读
52	桥本甲状腺炎合并甲状腺结节的研究进展可视化分析中医药治疗思路	蒲林莉 符芳 宫晓静	世界中西医结合杂志	2025-02-28		202	HTML阅读      CNKI AI阅读
53	基于CiteSpace的中医药治疗心力衰竭气虚血瘀证文献可视化分析	周宇清 戴小华	山西中医药大学学报	2025-02-26		321	HTML阅读      CNKI AI阅读
54	近十年国内外神经根型颈椎病研究热点的可视化分析	李传明 张晓贝 秦萍 冯智华	颈腰痛杂志	2025-02-25 09:43		362	HTML阅读      CNKI AI阅读
55	基于CiteSpace的经皮耳迷走神经电刺激研究热点及趋势分析	夏丽桃 熊江艳 龙远玉 罗昭龙 马四补	全科护理	2025-02-25		622	HTML阅读      CNKI AI阅读
56	基于CiteSpace可视化分析生物反馈疗法在脑卒中康复领域的应用	李思琦 曾洋菁 王清 王雪娇 琚新梅	循证护理	2025-02-25		431	HTML阅读      CNKI AI阅读
57	基于CiteSpace的针灸治疗结直肠癌文献计量学分析	吴卉 陈海滔 姚庆华	浙江中医药大学学报	2025-02-20		114	HTML阅读      CNKI AI阅读
58	中医药文化进校园研究的现状、演进与启示——基于CiteSpace的可视化分析	梁玉龙 崔占玲 董博清	中医药文化	2025-02-15	1	335	HTML阅读      CNKI AI阅读
59	基于CiteSpace的中医络病可视化计量分析	陈彦灵 章美花 林基伟 吴海滨 宋晓容 程波敏 汪栋材	西部中医药	2025-02-15		91	HTML阅读      CNKI AI阅读
60	基于CiteSpace对关节挛缩研究热点与趋势的可视化分析	胡雅静 颜立春 段建辉 王之仪 易小聪 谭素文 张银华	医学信息	2025-02-15		59	HTML阅读      CNKI AI阅读
61	基于CiteSpace的中医药治疗椎间盘退变研究的现状和趋势的可视化分析	刘博 戚晓楠 崔海舰 王禹 姚啸生	实用中医内科杂志	2025-02-12 11:25		431	HTML阅读      CNKI AI阅读
62	基于CiteSpace的中医药治疗干燥综合征知识图谱可视化分析	刘瑞丰 伍思琪	中国医药指南	2025-02-10		202	HTML阅读      CNKI AI阅读
63	基于CNKI的中医妇科教学研究可视化分析	孙淼 王玉艳 高丽娟 郑晓英 赵芳园	中国中医药现代远程教育	2025-02-10		129	HTML阅读      CNKI AI阅读
64	基于CiteSpace的中医药治疗葡萄膜炎知识图谱可视化分析	朱笑莹 马若楠 尹连荣 毕徐齐 杨永升	中国中医眼科杂志	2025-02-08		466	HTML阅读      CNKI AI阅读
65	基于CiteSpace的中医药治疗胆囊炎可视化分析	张立阳 魏凤琴	亚太传统医药	2025-02-05		203	HTML阅读      CNKI AI阅读
66	基于VOSviewer和CiteSpace知识图谱的中医药干预心肌细胞焦亡可视化分析	刘子豪 连妍洁 刘红旭 尚菊菊 邢文龙 李爱勇	世界中西医结合杂志	2025-01-28		517	HTML阅读      CNKI AI阅读
67	基于Cite Space中医药领域治疗卒中后睡眠障碍的可视化分析	周辰鲁 廖喜琳 龙泉滋 苏幼美 范葵钰	齐齐哈尔医学院学报	2025-01-15		294	HTML阅读      CNKI AI阅读
68	中医舌诊数据挖掘文献的计量与可视化分析	王东军 张红日 田之魁 孙璇 关媛媛 周密 朱青青 周宗慧 王泓午	西部中医药	2025-01-15		183	HTML阅读      CNKI AI阅读
69	基于CiteSpace的针刺迎随补泻法文献计量学与可视化分析 网络首发	董培欣 樊旭	实用中医内科杂志	2025-01-14 16:22		217	HTML阅读      CNKI AI阅读
70	基于知识图谱的肩周炎治疗研究可视化分析	王洪恩 周狄挺 殷光磊	浙江工业大学学报	2025-01-14		769	HTML阅读      CNKI AI阅读
71	中医健康管理研究可视化分析：现状、热点及演进趋势	朱光祥 尹兴玲 吴婧	中医药管理杂志	2025-01-14		188	HTML阅读      CNKI AI阅读
72	基于CiteSpace的温阳、利水类方药治疗心力衰竭的可视化分析	张馨予 梁丽喆 郑剑勋 孙悦	中医临床研究	2025-01-10		71	HTML阅读      CNKI AI阅读
73	基于CiteSpace中医药治疗消化性溃疡相关研究可视化分析	陈雪薇 魏凤琴	亚太传统医药	2025-01-05		239	HTML阅读      CNKI AI阅读
74	2003-2023年中医师承国内外研究文献可视化分析	何畅 古欣怡 赵冉 张雯 郑陆峰 张泽丹 温宵宵 王斌	中国中医药图书情报杂志	2025-01-01		106	HTML阅读      CNKI AI阅读
75	近10年中医药治疗乳痈研究文献可视化分析	周德楷 李南樱 冯诗惠 黄芳妹 蔡春裕 曹淑华	中国中医药图书情报杂志	2025-01-01		205	HTML阅读      CNKI AI阅读
76	中医药师承教育研究热点及趋势分析	孙赫浓 吴国平 贾暄 袁有树 王志伟	医学教育研究与实践	2024-12-31 11:49		272	HTML阅读      CNKI AI阅读
77	基于CiteSpace和VOSviewer的中医药治疗冠心病研究文献可视化分析	郑剑勋 梁丽喆	右江民族医学院学报	2024-12-30		142	HTML阅读      CNKI AI阅读
78	基于文献计量学的中医药治疗肺动脉高压的可视化分析	王庆 刘丹 袁文 王强	中国医院用药评价与分析	2024-12-30		240	HTML阅读      CNKI AI阅读
79	基于CiteSpace与VOSviewer的中医药肝损伤领域研究可视化分析	刘威 苏海潇 谭德超 侯林	现代中药研究与实践	2024-12-28		152	HTML阅读      CNKI AI阅读
80	整合文献计量学和网络药理学探究中药方剂治疗糖脂代谢异常的研究	李卉 苏苇 吴倩 黄静 刘晓佳 倪青	内蒙古中医药	2024-12-28		172	HTML阅读      CNKI AI阅读
81	基于CiteSpace的中医药治疗脓毒症相关性肾损伤的可视化分析	赖橼 赵彦琪 陈钦思 苏志超 陈伟	湖南中医杂志	2024-12-28		67	HTML阅读      CNKI AI阅读
82	基于全球视域的中医药调控Notch通路文献计量学及可视化分析	尚辉 冉立成 陈融 宋亚文 王亚军 陈丽荣 杨通 郭明亮 何慧	世界科学技术-中医药现代化	2024-12-27 14:06		1284	HTML阅读      CNKI AI阅读
83	基于CiteSpace的中医药院校外语教学研究的可视化分析	费徯欣 孙灵芝 刘艾娟 邵英俊	中医教育	2024-12-27 13:39		252	原版阅读      CNKI AI阅读
84	基于CiteSpace的中医药治疗系统性红斑狼疮可视化分析	陈少敏 李红毅 刘炽 熊述清 党若楠 吴元胜	新中医	2024-12-25		376	HTML阅读      CNKI AI阅读
85	基于CiteSpace的中医药治疗冠心病血瘀证可视化分析	匡慧芳 刘建和 廉坤 钟声 李静 刘祎 王明韵 张秋雁	中西医结合心脑血管病杂志	2024-12-25		231	HTML阅读      CNKI AI阅读
86	基于CiteSpace的中医药防治消化性溃疡可视化分析 网络首发	史旋 关建军 马莉 王楠	陕西中医药大学学报	2024-12-24 14:54		265	原版阅读      CNKI AI阅读
87	基于CiteSpace的国内肠易激综合征焦虑抑郁相关研究的可视化分析	张鹏 袁航	全科护理	2024-12-24		270	HTML阅读      CNKI AI阅读
88	基于Citespace的中医药与反流性食管炎的研究现状分析	苏攀柯 李靖娜 耿秀娟 陈璐璐	食管疾病	2024-12-20		365	HTML阅读      CNKI AI阅读
89	中医药教学中虚拟仿真融入概况可视化分析	王响 李瑞丽 尚晓玲	通化师范学院学报	2024-12-20		92	HTML阅读      CNKI AI阅读
90	基于CiteSpace分析中医外治法治疗强直性脊柱炎的研究现状及趋势	祝昌昊 王浩源 谢宁 秦媛 杨精华 张洪鹏	江汉大学学报(自然科学版)	2024-12-19		376	HTML阅读      CNKI AI阅读
91	基于中国知网数据库(CNKI)的捏脊研究领域知识图谱可视化分析	汤文政 董思颖 刘诗妍 郭啸南 唐青 林丽莉	中医康复	2024-12-18		338	HTML阅读      CNKI AI阅读
92	中医药治疗溃疡性结肠炎的研究热点及未来展望:基于CiteSpace的可视化分析	莫嘉浩 黄演芬 涂宾奇 黄浩成 刘洁娟 刘畅 张北平 钟彩玲 奚旭杰	西部中医药	2024-12-15	1	292	HTML阅读      CNKI AI阅读
93	基于CiteSpace的中医药治疗放射性肺炎的可视化分析	邵文博 李韬芝 何亚琳 王玉坤 程志强	西部中医药	2024-12-15		149	HTML阅读      CNKI AI阅读
94	基于CiteSpace的中医内科学教学改革研究热点提炼与趋势分析	刘江腾 阮智超 孙慧怡 赵进喜 朱立 李杰 肖永华 暴雪丽	中国医药导报	2024-12-15		116	HTML阅读      CNKI AI阅读
95	基于CiteSpace的脾虚湿热证研究文献可视化分析	郭凤赟 张晴晴 王奕晨 杨胜男 王萍	中国医药导报	2024-12-05		129	HTML阅读      CNKI AI阅读
96	近10年肿瘤安宁疗护研究概况与热点演进	刘秀梅 夏青青 廖诗怡 贺叶梅 胡亚喧 陈偶英	中国医药导报	2024-12-05		298	HTML阅读      CNKI AI阅读
97	中医药治疗不宁腿综合征可视化分析：基于近40年来相关研究文献	严凯雯 王钜为 赵圣 陈怡瑞 施雨莎 朱文宗	亚太传统医药	2024-12-03		243	HTML阅读      CNKI AI阅读
98	基于CiteSpace的中医外治法治疗肥胖症可视化分析	赵静雯 屈亚楠 刘彦晶	亚太传统医药	2024-12-03		653	HTML阅读      CNKI AI阅读
99	基于CiteSpace的中医传统功法干预糖尿病相关研究可视化分析	易俊儒 邓赟 易露茜 刘苹 何燕 罗尧岳	中医药导报	2024-11-28	2	423	HTML阅读      CNKI AI阅读
100	基于CiteSpace的龙江医派研究可视化分析	刘凌宇 孙芳瑞 王小路 霍丽丽 曾祥新	湖南中医杂志	2024-11-28		113	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
101	基于自噬探究中医药治疗动脉粥样硬化研究现状与可视化分析	连文静 惠小珊 李洪峥 程嘉雯 朱晨阳 刘超 马成 张振鹏 王阶	世界中西医结合杂志	2024-11-28		212	HTML阅读      CNKI AI阅读
102	基于CiteSpace分析国内中医药干预脑卒中后认知障碍研究热点及趋势	彭欢 李娜 盘明霞 熊圆方 胡子萍 郭钰钦 刘汉娇	中国医药导报	2024-11-25		387	HTML阅读      CNKI AI阅读
103	2004—2023年中国医学英语研究核心期刊文献计量分析	吴松立 陈思	中国医药导报	2024-11-25		139	HTML阅读      CNKI AI阅读
104	基于CiteSpace的压力性损伤中医护理技术研究的可视化分析	马文静 徐海霞 李超君 李梦缘 谢婷	全科护理	2024-11-25		708	HTML阅读      CNKI AI阅读
105	医用镁合金材料研究趋势与热点追踪	马毓聪 欧阳峥峥 刘小杰 杨思飞	中国组织工程研究	2024-11-22 10:26		790	HTML阅读      CNKI AI阅读
106	基于文献计量分析与科学知识图谱研究探讨中医药领域慢性阻塞性肺疾病研究现状与发展趋势 网络首发	王世文 臧凝子 冷嘉鹏 邹吉宇 王佳然 王星元 庞立健 吕晓东	实用中医内科杂志	2024-11-21 10:55		591	HTML阅读      CNKI AI阅读
107	基于CiteSpace多维舌诊技术发展可视化分析 网络首发	汪莉 姜楠 程斌 董昌武	陕西中医药大学学报	2024-11-19 09:13		518	原版阅读      CNKI AI阅读
