	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
125	小檗碱对高糖诱导视网膜血管内皮细胞铁死亡的抑制作用及机制	陈佳	南昌大学	硕士	2023	2	654	原版阅读      CNKI AI阅读
126	小檗碱通过FOXO3a/BIM信号通路对阿尔兹海默症的改善作用及机制研究	李浩然	吉林大学	硕士	2023	3	1217	原版阅读      CNKI AI阅读
127	基于数据挖掘的小檗碱治疗骨质疏松症的作用机制研究	喻锦铃	吉林大学	硕士	2023	1	293	原版阅读      CNKI AI阅读
128	小檗碱衍生物的设计合成与抗菌活性评价研究	张保琪	兰州大学	硕士	2023	2	769	原版阅读      CNKI AI阅读
129	内质网应激在糖尿病肾病中的作用及小檗碱的干预机制研究	王妍菲	蚌埠医学院	硕士	2023	1	181	原版阅读      CNKI AI阅读
130	小檗碱通过ROS-STAT3抑制类风湿关节炎成纤维样滑膜细胞自噬促进凋亡的作用及机制	宗世烨	蚌埠医学院	硕士	2023	1	399	原版阅读      CNKI AI阅读
131	原小檗碱类衍生物的设计，合成及协同抗鲍曼不动杆菌活性和抗肝纤维化活性研究	赵丽萍	北京协和医学院	硕士	2023	1	278	原版阅读      CNKI AI阅读
132	基于植物药成分自组装的小檗碱-多酚类化合物纳米粒的构建与评价	郑婷婷	北京协和医学院	硕士	2023	1	1320	原版阅读      CNKI AI阅读
133	抗大口黑鲈虹彩病毒的中草药筛选及小檗碱的活性研究	杨彬	西北农林科技大学	硕士	2023	2	435	原版阅读      CNKI AI阅读
134	小檗碱通过Nrf2/GSK3β通路诱导肝癌细胞死亡的机制研究	吴文龙	中国人民解放军空军军医大学	硕士	2023		362	原版阅读      CNKI AI阅读
135	黄连与延胡索中原小檗碱型生物碱“构-效-性”关系探究（一）	陈可点	北京中医药大学	硕士	2023		253	原版阅读      CNKI AI阅读
136	盐酸小檗碱抗菌复合水凝胶的研发	羊露	吉林农业大学	硕士	2023		843	原版阅读      CNKI AI阅读
137	基于PI3K/Akt信号通路探讨小檗碱调控自噬对LPS诱导巨噬细胞炎症反应的干预作用及机制	丁桃	江西中医药大学	硕士	2023	2	478	原版阅读      CNKI AI阅读
138	基于PI3K/Akt通路探讨小檗碱调控巨噬细胞自噬防治动脉粥样硬化机制	胥玉林	江西中医药大学	硕士	2023		379	原版阅读      CNKI AI阅读
139	大口黑鲈GSK3β基因研究及饲料中添加盐酸小檗碱对其生长、抗氧化能力及糖代谢的影响	蒋雪鸾	上海海洋大学	硕士	2023	1	204	原版阅读      CNKI AI阅读
140	PS-DVB材料的定向设计、合成及其在药物分子吸附中的应用研究	毕敏杰	鲁东大学	硕士	2023		216	原版阅读      CNKI AI阅读
141	小檗碱对脂多糖诱导损伤的小鼠原代神经元树突、突触的影响	舒天宇	湖北医药学院	硕士	2023		166	原版阅读      CNKI AI阅读
142	靶向NR1H3的抗肿瘤活性化合物筛选模型的建立及应用研究	王一萌	西南大学	硕士	2023		244	原版阅读      CNKI AI阅读
143	小檗碱靶向IGF2BP3抗结直肠癌机制研究	桂振威	西南大学	硕士	2023	3	267	原版阅读      CNKI AI阅读
144	盐酸小檗碱通过抑制Nrf2依赖性铁死亡减轻伊马替尼所致心脏毒性的体内外研究	宋成珠	西南大学	硕士	2023	2	384	原版阅读      CNKI AI阅读
145	8-十六烷基小檗碱对非酒精性脂肪肝炎的作用及其机制研究	何欢	西南大学	硕士	2023		287	原版阅读      CNKI AI阅读
146	利培酮介导青春期大鼠代谢紊乱及小檗碱的干预研究	杨潞	西南大学	硕士	2023		91	原版阅读      CNKI AI阅读
147	小檗碱在抑制炎症性肠病血栓形成中的作用及相关机制研究	张龙	河北医科大学	博士	2023		52	原版阅读      CNKI AI阅读
148	中药味连“辨色论质”初步研究	李杨松	成都中医药大学	硕士	2023		228	原版阅读      CNKI AI阅读
149	新型小檗碱衍生物的设计合成及其抗肿瘤活性研究	徐斌	常州大学	硕士	2023		221	原版阅读      CNKI AI阅读
150	运动与小檗碱对T2D大鼠肾脏炎症的影响：FGF1的作用及机制	朱港晨中	安徽师范大学	硕士	2023		55	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
151	小檗碱碳点合成及其对食源性致病菌抗菌性能研究	朱肖俊	合肥工业大学	硕士	2023		119	原版阅读      CNKI AI阅读
152	CoFe2O4/BiFeO3磁性纳米催化剂的制备及其催化降解盐酸小檗碱性能研究	翟天骄	兰州交通大学	硕士	2023		339	原版阅读      CNKI AI阅读
153	常见中药体外抗念珠菌药物敏感性筛选及抗感染作用机制研究	余宇	北京协和医学院	硕士	2023	3	322	原版阅读      CNKI AI阅读
154	钴掺杂的中空聚多巴胺用于阿霉素和小檗碱的递送和抗肿瘤研究	吴世龙	东北林业大学	硕士	2023		307	原版阅读      CNKI AI阅读
155	用于NO激光控释和小檗碱缓释水凝胶的抗菌抗肿瘤效果评价	姜宇	东北林业大学	硕士	2023		205	原版阅读      CNKI AI阅读
156	基于肠道菌群的中药药性解读及小檗碱降血脂作用机制研究	杨娅楠	北京协和医学院	硕士	2023	1	864	原版阅读      CNKI AI阅读
157	基于网络药理学研究小檗碱联合吉非替尼对肺癌的影响	胡元欣	西华师范大学	硕士	2023		228	原版阅读      CNKI AI阅读
158	羌药刷格痛风颗粒的制备工艺及质量控制研究	吉部肖情	西南民族大学	硕士	2023		275	原版阅读      CNKI AI阅读
159	基于网络药理学的复方双黄皮肤抑菌剂提取工艺、消毒效果及质量评价研究	何枭	重庆师范大学	硕士	2023		211	原版阅读      CNKI AI阅读
160	MTX-BBR可溶性微针的制备以及基于网络药理学研究MTX-BBR的作用机制	王晨	沈阳医学院	硕士	2023		201	原版阅读      CNKI AI阅读
161	小檗碱与维奈托克联用逆转急性白血病细胞获得性维奈托克耐药的作用评价	黄侨宗	安徽中医药大学	硕士	2023		172	原版阅读      CNKI AI阅读
162	盐酸小檗碱脂质体凝胶的制备及其对湿疹的初步药效学评价	王萌萌	安徽中医药大学	硕士	2023	4	1066	原版阅读      CNKI AI阅读
163	小檗碱通过FKBP5减轻脂肪组织巨噬细胞炎症抑制饮食性肥胖	叶竹青	安徽医科大学	硕士	2023		395	原版阅读      CNKI AI阅读
164	小檗碱通过AMPK/SIRT1途径改善酒精性脂肪肝的脂质代谢异常	朱琳	安徽医科大学	硕士	2023	1	588	原版阅读      CNKI AI阅读
165	小檗碱经由JAK2/STAT3通路抑制炎症修复脊髓损伤的研究	张雷	锦州医科大学	硕士	2023	1	132	原版阅读      CNKI AI阅读
166	盐酸小檗碱联合二甲双胍对肥胖或超重2型糖尿病患者肠源性GLP-1水平的影响	董栋	杭州师范大学	硕士	2023	1	159	原版阅读      CNKI AI阅读
167	小檗碱通过调节ROS和PI3K/AKT/mTOR通路激活自噬和凋亡发挥抗甲状腺未分化癌作用	时向哲	河北医科大学	硕士	2023		245	原版阅读      CNKI AI阅读
168	脂质代谢紊乱在肺动脉高压右室重构中的作用及小檗碱的干预研究	高娟	河北医科大学	硕士	2023		110	原版阅读      CNKI AI阅读
169	小檗碱介导自噬调控1,3-β-葡聚糖所致肺部炎症作用机制研究	邓伟	中国医科大学	硕士	2023		104	原版阅读      CNKI AI阅读
170	小檗碱的抗奶牛乳房炎机制研究	王文佳	华中农业大学	博士	2022	2	482	原版阅读      CNKI AI阅读
171	β-内酰胺类抗生素增效剂筛选及其消除E.coli耐药性研究	左丽	河北工程大学	硕士	2022	1	422	原版阅读      CNKI AI阅读
172	柚皮素—盐酸小檗碱共晶的制备、体外释药及掩味效果评价	王令令	河北农业大学	硕士	2022		79	原版阅读      CNKI AI阅读
173	miRNA-18a-5p/Samd3信号通路在小檗碱治疗川崎病冠状动脉损伤中的作用及机制研究	范雪	中国医科大学	博士	2022		656	原版阅读      CNKI AI阅读
174	青连宁心胶囊的抗心律失常作用及其药代动力学研究	李彦	山东中医药大学	硕士	2022		50	原版阅读      CNKI AI阅读
175	P2X7R/NLRP3介导小檗碱抗视网膜光损伤的机制研究	叶姗姗	中国中医科学院	博士	2022	2	701	原版阅读      CNKI AI阅读
176	源于天然源吴茱萸（次）碱和小檗碱的全新抗菌化学实体的设计合成与结构优化研究	杨程杰	兰州大学	博士	2022	1	876	原版阅读      CNKI AI阅读
177	3D打印技术应用于中药抗菌制剂的制备研究	陈晨	天津中医药大学	硕士	2022		107	原版阅读      CNKI AI阅读
178	去亚甲基小檗碱通过c-Myc/HIF-1α抗肺癌作用研究	刘丹丹	广州中医药大学	硕士	2022		38	原版阅读      CNKI AI阅读
179	氧化小檗碱对5-FU诱发小鼠肠黏膜炎的保护作用研究	黄荣蕾	广州中医药大学	硕士	2022		90	原版阅读      CNKI AI阅读
180	小檗碱改善慢性脑低灌注大鼠血管性认知障碍的机制研究	田悦	广州中医药大学	硕士	2022		93	原版阅读      CNKI AI阅读
181	盐酸小檗碱的生物效应研究	刘晨音	中南民族大学	硕士	2022		391	原版阅读      CNKI AI阅读
182	盐酸小檗碱抑制柑橘酸腐病菌孢子萌发的机制研究	余婷	湘潭大学	硕士	2022	1	129	原版阅读      CNKI AI阅读
183	小檗碱对高脂饮食诱导肥胖小鼠肠道L细胞GLP-1分泌的影响及机制研究	韦丽瑞	郑州大学	硕士	2022	1	445	原版阅读      CNKI AI阅读
184	白及多糖基水凝胶的制备、性能研究及在创面修复中的应用	王坤堂	天津中医药大学	硕士	2022	7	2221	原版阅读      CNKI AI阅读
185	载盐酸小檗碱-海藻酸钙微球的温敏凝胶直肠给药治疗溃疡性结肠炎的研究	唐杰	天津中医药大学	硕士	2022	7	1253	原版阅读      CNKI AI阅读
186	黄芩苷-小檗碱纳米晶口服吸收特性的研究	王继林	天津中医药大学	硕士	2022		1220	原版阅读      CNKI AI阅读
187	小檗碱通过调节miR-103a-3p/BRD4轴抑制β-catenin通路从而抑制细胞焦亡及肠黏膜屏障损伤	赵寻	贵州医科大学	硕士	2022	3	398	原版阅读      CNKI AI阅读
188	基于生物膜模型研究中药的体外抗感染效应	崔乃菠	天津中医药大学	硕士	2022	5	1055	原版阅读      CNKI AI阅读
189	铁调素及其激动剂对草鱼生长、免疫和肠道健康的影响	冯梦真	华中农业大学	硕士	2022		296	原版阅读      CNKI AI阅读
190	鞣花酸与小檗碱联用对早期断奶仔猪腹泻和肠道微生物的影响	杨文波	华中农业大学	硕士	2022	6	663	原版阅读      CNKI AI阅读
191	小檗碱和甘草查尔酮A对A型产气荚膜梭菌的侧枝敏感和交叉耐药性评价	陈惠	华中农业大学	硕士	2022	5	448	原版阅读      CNKI AI阅读
192	山新杨小檗碱桥酶PdPapBBE53基因功能研究	李嘉哲	东北林业大学	硕士	2022	1	206	原版阅读      CNKI AI阅读
193	小檗碱对沙门氏菌诱导的肠道炎症的影响及疗效观察	杨彤	新疆农业大学	硕士	2022	5	577	原版阅读      CNKI AI阅读
194	杂交链式反应在背包问题和逻辑运算中的应用	庞雪	安徽理工大学	硕士	2022	2	115	原版阅读      CNKI AI阅读
195	小檗碱增强吉西他滨在膀胱癌中的抗肿瘤作用及机制研究	高兴华	山东大学	博士	2022	4	703	原版阅读      CNKI AI阅读
196	基于PPAR-γ/HO-1通路探讨小檗碱对ox-LDL诱导下巨噬细胞极化的机制研究	李永林	河南中医药大学	硕士	2022	2	264	原版阅读      CNKI AI阅读
197	小檗碱拮抗成瘾药物的神经机制的研究	朱晨文	汕头大学	硕士	2022		131	原版阅读      CNKI AI阅读
198	超声二维斑点追踪技术评价盐酸小檗碱对大鼠左心室肥厚及收缩功能的影响	寇涂利	西南医科大学	硕士	2022	2	168	原版阅读      CNKI AI阅读
199	基于酿酒酵母细胞的药物载体制备与递送性能研究	侯佳男	大连理工大学	硕士	2022		579	原版阅读      CNKI AI阅读
200	具有ROS清除作用的水凝胶包裹小檗碱@NMOF促进糖尿病足创面愈合	胡晶晶	南方医科大学	硕士	2022	2	993	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
201	盐酸小檗碱缓释胶囊的制备及对糖尿病小鼠肠道菌群的影响	张欣	湖北中医药大学	硕士	2022		354	原版阅读      CNKI AI阅读
202	壮药陈皮主要成分橙皮素药物共晶的制备、生物利用度及其抑制胃癌细胞SGC-7901的研究	罗佳静	广西中医药大学	硕士	2022		15	原版阅读      CNKI AI阅读
203	基于酵母微囊的小檗碱口服递送系统用于治疗急性溃疡性结肠炎	冯星星	华中科技大学	硕士	2022		584	原版阅读      CNKI AI阅读
204	白藜芦醇共晶纳米体系的制备及性质研究	覃营	广西中医药大学	硕士	2022		11	原版阅读      CNKI AI阅读
205	小檗碱对血管性痴呆大鼠NLRP3/Caspase-1信号通路的影响	李强	天津医科大学	博士	2022		22	原版阅读      CNKI AI阅读
206	小檗碱对实验性结肠炎小鼠肠粘膜屏障的保护作用及治疗机制研究	董亚兰	华中科技大学	博士	2022	1	1114	原版阅读      CNKI AI阅读
207	黄连人参对药及其有效成分氧化小檗碱抑制肝脏糖异生治疗2型糖尿病的机制研究	吴凡	华中科技大学	博士	2022		604	原版阅读      CNKI AI阅读
208	基于吡啶炔的多样性合成研究	刘凯	华东师范大学	博士	2022		183	原版阅读      CNKI AI阅读
209	小檗碱中短链脂肪酸盐与小檗碱-瓜环复合物的制备及抗癌活性研究	许凤姣	湖南师范大学	硕士	2022		2	原版阅读      CNKI AI阅读
210	小檗碱对饲喂高脂饲料珍珠龙胆石斑鱼生长、免疫、脂代谢和肠道菌群的影响	时慧中	海南大学	硕士	2022		66	原版阅读      CNKI AI阅读
211	基于胰岛5-HT系统探讨交泰丸及主要成分小檗碱治疗2型糖尿病的机制	韩洪翠	北京中医药大学	硕士	2022	1	55	原版阅读      CNKI AI阅读
212	阳离子化和硒化中药麦冬多糖治疗炎症性肠病的研究	杨文娜	天津大学	硕士	2022		124	原版阅读      CNKI AI阅读
213	超分子中药纳米复合物BBR/CGA的制备及其抑制金黄色葡萄球菌的研究	李意	南京农业大学	硕士	2022		250	原版阅读      CNKI AI阅读
214	新型相转化法制备小檗碱纳米晶体及其药代动力学研究	周剑雄	天津大学	硕士	2022		116	原版阅读      CNKI AI阅读
215	产小檗碱黄连内生真菌的分离及抑菌活性研究	杨慧	西南交通大学	硕士	2022		182	原版阅读      CNKI AI阅读
216	四种红色荧光碳点的制备及其在药物分析中的应用	訾燕	湖南科技大学	硕士	2022		194	原版阅读      CNKI AI阅读
217	不同基质金黄膏质量评价及抑菌作用的研究	董浩宇	内蒙古医科大学	硕士	2022		170	原版阅读      CNKI AI阅读
218	以小檗碱为阳离子的药物盐理化性质及其与生物小分子的相互作用	孙梦	郑州大学	硕士	2022		118	原版阅读      CNKI AI阅读
219	钯催化亚胺α-C-H芳基化-酰胺化串联反应构建原小檗碱骨架	李少峰	郑州大学	硕士	2022		59	原版阅读      CNKI AI阅读
220	基于不同温度影响的黄连整体质量评价研究	王丹	北京中医药大学	硕士	2022	2	410	原版阅读      CNKI AI阅读
221	小檗碱磷脂固体分散体的制备、体内降糖药效及机制研究	童帅	华中科技大学	硕士	2022		265	原版阅读      CNKI AI阅读
222	从黄连下脚料中“酶解-超声”联合提取黄连素研究	钱茂升	河南科技大学	硕士	2022	2	331	原版阅读      CNKI AI阅读
223	基于与肠道菌群相互作用的小檗碱“药辅合一”递送系统的构建与评价	吴晨阳	北京协和医学院	硕士	2022	1	815	原版阅读      CNKI AI阅读
224	小檗碱水飞蓟宾药物联用治疗非酒精性脂肪性肝病研究	余孝游	北京协和医学院	硕士	2022	1	524	原版阅读      CNKI AI阅读
225	黄连总生物碱与三七总皂苷组合物药代动力学研究	牛津津	吉林大学	硕士	2022	1	1191	原版阅读      CNKI AI阅读
226	核酸外切酶Ⅰ辅助信号放大的功能核酸荧光法检测汞离子和铅离子	刘凯	吉林大学	硕士	2022		447	原版阅读      CNKI AI阅读
